X_CNT	Y_CNT	X_MIN	X_MAX	Y_MIN	Y_MAX	LEHTITUNNUS	ULJ10_ID
23000	7815000	20000	26000	7812000	7818000	X2422B	26497
29000	7815000	26000	32000	7812000	7818000	X2422D	26498
35000	7815000	32000	38000	7812000	7818000	X2422F	26499
41000	7815000	38000	44000	7812000	7818000	X2422H	26500
47000	7815000	44000	50000	7812000	7818000	X2424B	26501
53000	7815000	50000	56000	7812000	7818000	X2424D	26502
59000	7815000	56000	62000	7812000	7818000	X2424F	26503
65000	7815000	62000	68000	7812000	7818000	X2424H	26504
71000	7815000	68000	74000	7812000	7818000	X2442B	26505
77000	7815000	74000	80000	7812000	7818000	X2442D	26506
83000	7815000	80000	86000	7812000	7818000	X2442F	26507
89000	7815000	86000	92000	7812000	7818000	X2442H	26508
95000	7815000	92000	98000	7812000	7818000	X2444B	26509
101000	7815000	98000	104000	7812000	7818000	X2444D	26510
107000	7815000	104000	110000	7812000	7818000	X2444F	26511
113000	7815000	110000	116000	7812000	7818000	X2444H	26512
119000	7815000	116000	122000	7812000	7818000	X3222B	26513
125000	7815000	122000	128000	7812000	7818000	X3222D	26514
131000	7815000	128000	134000	7812000	7818000	X3222F	26515
137000	7815000	134000	140000	7812000	7818000	X3222H	26516
143000	7815000	140000	146000	7812000	7818000	X3224B	26517
149000	7815000	146000	152000	7812000	7818000	X3224D	26518
155000	7815000	152000	158000	7812000	7818000	X3224F	26519
161000	7815000	158000	164000	7812000	7818000	X3224H	26520
167000	7815000	164000	170000	7812000	7818000	X3242B	26521
173000	7815000	170000	176000	7812000	7818000	X3242D	26522
179000	7815000	176000	182000	7812000	7818000	X3242F	26523
185000	7815000	182000	188000	7812000	7818000	X3242H	26524
191000	7815000	188000	194000	7812000	7818000	X3244B	26525
197000	7815000	194000	200000	7812000	7818000	X3244D	26526
203000	7815000	200000	206000	7812000	7818000	X3244F	26527
209000	7815000	206000	212000	7812000	7818000	X3244H	26528
215000	7815000	212000	218000	7812000	7818000	X3422B	26529
221000	7815000	218000	224000	7812000	7818000	X3422D	26530
227000	7815000	224000	230000	7812000	7818000	X3422F	26531
233000	7815000	230000	236000	7812000	7818000	X3422H	26532
239000	7815000	236000	242000	7812000	7818000	X3424B	26533
245000	7815000	242000	248000	7812000	7818000	X3424D	26534
251000	7815000	248000	254000	7812000	7818000	X3424F	26535
257000	7815000	254000	260000	7812000	7818000	X3424H	26536
263000	7815000	260000	266000	7812000	7818000	X3442B	26537
269000	7815000	266000	272000	7812000	7818000	X3442D	26538
275000	7815000	272000	278000	7812000	7818000	X3442F	26539
281000	7815000	278000	284000	7812000	7818000	X3442H	26540
287000	7815000	284000	290000	7812000	7818000	X3444B	26541
293000	7815000	290000	296000	7812000	7818000	X3444D	26542
299000	7815000	296000	302000	7812000	7818000	X3444F	26543
305000	7815000	302000	308000	7812000	7818000	X3444H	26544
311000	7815000	308000	314000	7812000	7818000	X4222B	26545
317000	7815000	314000	320000	7812000	7818000	X4222D	26546
323000	7815000	320000	326000	7812000	7818000	X4222F	26547
329000	7815000	326000	332000	7812000	7818000	X4222H	26548
335000	7815000	332000	338000	7812000	7818000	X4224B	26549
341000	7815000	338000	344000	7812000	7818000	X4224D	26550
347000	7815000	344000	350000	7812000	7818000	X4224F	26551
353000	7815000	350000	356000	7812000	7818000	X4224H	26552
359000	7815000	356000	362000	7812000	7818000	X4242B	26553
365000	7815000	362000	368000	7812000	7818000	X4242D	26554
371000	7815000	368000	374000	7812000	7818000	X4242F	26555
377000	7815000	374000	380000	7812000	7818000	X4242H	26556
383000	7815000	380000	386000	7812000	7818000	X4244B	26557
389000	7815000	386000	392000	7812000	7818000	X4244D	26558
395000	7815000	392000	398000	7812000	7818000	X4244F	26559
401000	7815000	398000	404000	7812000	7818000	X4244H	26560
407000	7815000	404000	410000	7812000	7818000	X4422B	26561
413000	7815000	410000	416000	7812000	7818000	X4422D	26562
419000	7815000	416000	422000	7812000	7818000	X4422F	26563
425000	7815000	422000	428000	7812000	7818000	X4422H	26564
431000	7815000	428000	434000	7812000	7818000	X4424B	26565
437000	7815000	434000	440000	7812000	7818000	X4424D	26566
443000	7815000	440000	446000	7812000	7818000	X4424F	26567
449000	7815000	446000	452000	7812000	7818000	X4424H	26568
455000	7815000	452000	458000	7812000	7818000	X4442B	26569
461000	7815000	458000	464000	7812000	7818000	X4442D	26570
467000	7815000	464000	470000	7812000	7818000	X4442F	26571
473000	7815000	470000	476000	7812000	7818000	X4442H	26572
479000	7815000	476000	482000	7812000	7818000	X4444B	26573
485000	7815000	482000	488000	7812000	7818000	X4444D	26574
491000	7815000	488000	494000	7812000	7818000	X4444F	26575
497000	7815000	494000	500000	7812000	7818000	X4444H	26576
503000	7815000	500000	506000	7812000	7818000	X5222B	26577
509000	7815000	506000	512000	7812000	7818000	X5222D	26578
515000	7815000	512000	518000	7812000	7818000	X5222F	26579
521000	7815000	518000	524000	7812000	7818000	X5222H	26580
527000	7815000	524000	530000	7812000	7818000	X5224B	26581
533000	7815000	530000	536000	7812000	7818000	X5224D	26582
539000	7815000	536000	542000	7812000	7818000	X5224F	26583
545000	7815000	542000	548000	7812000	7818000	X5224H	26584
551000	7815000	548000	554000	7812000	7818000	X5242B	26585
557000	7815000	554000	560000	7812000	7818000	X5242D	26586
563000	7815000	560000	566000	7812000	7818000	X5242F	26587
569000	7815000	566000	572000	7812000	7818000	X5242H	26588
575000	7815000	572000	578000	7812000	7818000	X5244B	26589
581000	7815000	578000	584000	7812000	7818000	X5244D	26590
587000	7815000	584000	590000	7812000	7818000	X5244F	26591
593000	7815000	590000	596000	7812000	7818000	X5244H	26592
599000	7815000	596000	602000	7812000	7818000	X5422B	26593
605000	7815000	602000	608000	7812000	7818000	X5422D	26594
611000	7815000	608000	614000	7812000	7818000	X5422F	26595
617000	7815000	614000	620000	7812000	7818000	X5422H	26596
623000	7815000	620000	626000	7812000	7818000	X5424B	26597
629000	7815000	626000	632000	7812000	7818000	X5424D	26598
